# mean	lower_ci	upper_ci
0.01316675	0.01097068	0.01536282
0.01810841	0.01547777	0.02073904
0.01683422	0.01406860	0.01959984
0.01936369	0.01657422	0.02215316
0.01958474	0.01670555	0.02246392
0.02093273	0.01771607	0.02414940
0.01874844	0.01600457	0.02149232
0.02102670	0.01861569	0.02343772
0.03212249	0.02804930	0.03619569
0.04015322	0.03594685	0.04435959
0.03779742	0.03355372	0.04204111
0.04174101	0.03692951	0.04655252
0.04175279	0.03763915	0.04586642
0.04943289	0.04445713	0.05440864
0.04582522	0.04166856	0.04998188
0.05381857	0.04867063	0.05896652
0.05179911	0.04675010	0.05684812
0.05422459	0.04902284	0.05942634
0.05374565	0.04839954	0.05909177
0.04999895	0.04518568	0.05481223
0.04782351	0.04382605	0.05182097
0.04380648	0.03931834	0.04829461
0.04150771	0.03754759	0.04546783
0.04408233	0.03890772	0.04925695
0.05110575	0.04651235	0.05569915
0.05876632	0.05348451	0.06404812
0.05614508	0.05086685	0.06142331
0.05800535	0.05257853	0.06343217
0.06585344	0.05963158	0.07207530
0.07664065	0.07061845	0.08266284
0.07036396	0.06434419	0.07638373
0.07392997	0.06809904	0.07976090
0.06594191	0.06106083	0.07082300
0.06782417	0.06187613	0.07377221
0.06260194	0.05746870	0.06773518
0.07119604	0.06553785	0.07685423
0.05904565	0.05365753	0.06443376
0.05425232	0.04910964	0.05939501
0.05532624	0.05072919	0.05992329
0.05467008	0.04953584	0.05980432
0.03684925	0.03307862	0.04061988
0.03357887	0.02958999	0.03756775
0.03295645	0.02905386	0.03685903
0.03248623	0.02822522	0.03674723
0.03357034	0.03022420	0.03691648
0.04049699	0.03668021	0.04431378
0.03914330	0.03429155	0.04399505
0.03795676	0.03396514	0.04194837
0.04273223	0.03768415	0.04778030
0.03921481	0.03492284	0.04350679
0.04175092	0.03770138	0.04580045
0.04332343	0.03951411	0.04713275
0.03807589	0.03397988	0.04217190
0.03183187	0.02824500	0.03541873
0.03122592	0.02743917	0.03501267
0.03642502	0.03229629	0.04055375
0.03081415	0.02745268	0.03417562
0.03059426	0.02661995	0.03456857
0.03081309	0.02728246	0.03434372
0.02994355	0.02653070	0.03335640
0.03523948	0.03132937	0.03914959
0.03825005	0.03405048	0.04244961
0.03875712	0.03396074	0.04355351
0.03873386	0.03438369	0.04308403
0.04693788	0.04195440	0.05192136
0.04660935	0.04197051	0.05124820
0.04686538	0.04211266	0.05161811
0.05035816	0.04441992	0.05629641
0.05050713	0.04497223	0.05604202
0.05574721	0.05082118	0.06067324
0.05744926	0.05156792	0.06333059
0.05620218	0.05102157	0.06138280
0.05996060	0.05477976	0.06514145
0.06722477	0.06211806	0.07233147
0.06666403	0.05985560	0.07347247
0.07172945	0.06517762	0.07828128
0.06769927	0.06193532	0.07346323
0.07956673	0.07272063	0.08641283
0.07623662	0.07063932	0.08183393
0.07758076	0.07202668	0.08313484
0.07123497	0.06506970	0.07740024
0.07953431	0.07383459	0.08523402
0.07777698	0.07244093	0.08311304
0.08204933	0.07533985	0.08875882
0.07282199	0.06630346	0.07934053
0.06699719	0.06071027	0.07328411
0.06313018	0.05853540	0.06772496
0.07368644	0.06709264	0.08028024
0.06858281	0.06267843	0.07448719
0.06720176	0.06146232	0.07294121
0.07202585	0.06539007	0.07866164
0.06819117	0.06264743	0.07373491
0.05966856	0.05433138	0.06500575
0.05050569	0.04464258	0.05636880
0.05324595	0.04727230	0.05921959
0.04786965	0.04387318	0.05186612
