# mean	lower_ci	upper_ci
2.37020849	1.97744535	2.76297162
3.03656508	2.56565056	3.50747960
2.75979585	2.37708511	3.14250658
2.92155175	2.55976147	3.28334204
2.80468138	2.35788538	3.25147739
2.89486100	2.59689912	3.19282288
2.69957369	2.36940917	3.02973820
2.90715593	2.61286733	3.20144453
3.01936027	2.72942636	3.30929418
3.13198353	2.86849278	3.39547428
3.17780510	2.92471741	3.43089280
3.08459411	2.83199136	3.33719686
2.92282991	2.70758915	3.13807068
3.16843045	2.89319321	3.44366769
3.08643135	2.85664917	3.31621352
3.26749952	3.04409845	3.49090059
2.95946710	2.72419405	3.19474014
3.34484336	3.05672894	3.63295777
3.12503417	2.89777318	3.35229517
3.03431366	2.81182034	3.25680699
3.16335368	2.93898538	3.38772198
2.98525118	2.76600789	3.20449447
2.86586868	2.68008084	3.05165652
3.27586043	2.97879356	3.57292730
3.12587846	2.90658605	3.34517088
3.10267234	2.90631173	3.29903296
3.12720343	2.87990488	3.37450199
3.05840414	2.84608020	3.27072808
3.13689648	2.95503434	3.31875863
3.35299018	3.16447565	3.54150470
2.96112263	2.77664262	3.14560264
3.18709551	2.98159170	3.39259931
3.06839586	2.86829398	3.26849773
3.24618634	3.03303936	3.45933332
3.02553574	2.82926457	3.22180692
3.36083573	3.16370289	3.55796857
3.15898634	2.91697905	3.40099362
3.21852769	2.93623511	3.50082027
3.14283349	2.94219578	3.34347120
3.09025922	2.85945297	3.32106547
2.87446484	2.66588872	3.08304095
2.96894117	2.66338710	3.27449525
3.10231167	2.82293140	3.38169195
2.92960008	2.63827915	3.22092100
2.92852865	2.68629233	3.17076498
3.11070763	2.86571479	3.35570047
2.95286385	2.67554553	3.23018216
2.94152543	2.69146677	3.19158408
2.84663025	2.58975606	3.10350445
3.14972024	2.89080358	3.40863689
3.14829376	2.91718676	3.37940075
3.16997155	2.92175712	3.41818598
3.17102984	2.88724981	3.45480987
2.88362631	2.63540552	3.13184709
2.80199797	2.53461267	3.06938327
3.06459368	2.80621434	3.32297301
3.16017496	2.89271217	3.42763774
3.02224798	2.70278735	3.34170861
2.80090171	2.57553194	3.02627148
3.00694799	2.73769997	3.27619602
3.06166636	2.78386421	3.33946850
3.07701683	2.79128838	3.36274527
3.10397071	2.83898633	3.36895509
3.17408922	2.86294317	3.48523527
3.30691356	3.06381038	3.55001674
3.19103664	2.96688296	3.41519032
3.16223891	2.86845545	3.45602236
3.17509552	2.91563952	3.43455151
3.13223277	2.89427901	3.37018652
3.10706467	2.92141089	3.29271844
3.11465532	2.90651329	3.32279735
2.95917910	2.77046806	3.14789014
3.30963684	3.07406079	3.54521290
3.21652199	3.02673126	3.40631271
3.19487406	2.97293546	3.41681265
3.23787576	3.00687554	3.46887599
3.07541372	2.86450135	3.28632609
3.32641234	3.08338519	3.56943948
3.09498541	2.91878921	3.27118162
3.15720155	2.99268935	3.32171374
2.93163889	2.76663063	3.09664716
3.11339036	2.93914357	3.28763714
3.06592311	2.89168696	3.24015925
3.29926816	3.10688383	3.49165249
3.13809864	2.93830561	3.33789166
3.14476506	2.94031693	3.34921319
3.16209662	2.96555327	3.35863996
3.27961576	3.05799122	3.50124030
3.25817087	3.03195689	3.48438484
3.20259634	2.98789857	3.41729411
3.22396558	3.02156145	3.42636971
3.23612781	3.01563322	3.45662240
3.07723673	2.87363843	3.28083503
3.02501654	2.78507856	3.26495453
3.13104587	2.87783876	3.38425298
3.00322689	2.81955647	3.18689731
