# mean	lower_ci	upper_ci
0.01329879	0.01112135	0.01547624
0.01833241	0.01570608	0.02095873
0.01669970	0.01397009	0.01942931
0.01952063	0.01677307	0.02226818
0.01876528	0.01611044	0.02142013
0.02047366	0.01752409	0.02342324
0.01861902	0.01600268	0.02123537
0.02070794	0.01836436	0.02305153
0.03111307	0.02745452	0.03477163
0.03912440	0.03538846	0.04286034
0.03649984	0.03265923	0.04034045
0.04083311	0.03644475	0.04522146
0.04112637	0.03720847	0.04504426
0.04678831	0.04276290	0.05081373
0.04407167	0.04025104	0.04789230
0.05169318	0.04718384	0.05620253
0.04981734	0.04503860	0.05459608
0.05212738	0.04732489	0.05692987
0.05074857	0.04607704	0.05542010
0.04908475	0.04462439	0.05354511
0.04650846	0.04253899	0.05047793
0.04121490	0.03714339	0.04528642
0.04039706	0.03669914	0.04409499
0.04182866	0.03737513	0.04628220
0.04930702	0.04516481	0.05344922
0.05620426	0.05147606	0.06093246
0.05321701	0.04841810	0.05801592
0.05508324	0.05029901	0.05986748
0.06208556	0.05661782	0.06755329
0.07282847	0.06758909	0.07806786
0.06646342	0.06107496	0.07185187
0.06976367	0.06487968	0.07464766
0.06297305	0.05863107	0.06731502
0.06328721	0.05838287	0.06819155
0.05958826	0.05507358	0.06410293
0.06701728	0.06227478	0.07175977
0.05619698	0.05150598	0.06088797
0.05119095	0.04674836	0.05563355
0.05359040	0.04931336	0.05786743
0.05246636	0.04781424	0.05711847
0.03598974	0.03245027	0.03952921
0.03239687	0.02870642	0.03608733
0.03211106	0.02856390	0.03565823
0.03132507	0.02734914	0.03530101
0.03376529	0.03051006	0.03702052
0.03955301	0.03588961	0.04321641
0.03698397	0.03325466	0.04071328
0.03745039	0.03367308	0.04122769
0.04115733	0.03666572	0.04564894
0.03810687	0.03414847	0.04206526
0.04059122	0.03683148	0.04435096
0.04160629	0.03809705	0.04511553
0.03697235	0.03317822	0.04076648
0.03088198	0.02751950	0.03424447
0.02995045	0.02634386	0.03355703
0.03562944	0.03179861	0.03946026
0.03037988	0.02708007	0.03367969
0.02981206	0.02603999	0.03358413
0.03093313	0.02753183	0.03433444
0.02865377	0.02547174	0.03183581
0.03410003	0.03044066	0.03775939
0.03733076	0.03343365	0.04122786
0.03770472	0.03347024	0.04193921
0.03713336	0.03318053	0.04108618
0.04534399	0.04086675	0.04982122
0.04496638	0.04074912	0.04918364
0.04395897	0.03974048	0.04817746
0.04833782	0.04298126	0.05369439
0.04868660	0.04404935	0.05332384
0.05377908	0.04906324	0.05849491
0.05427431	0.04926433	0.05928430
0.05290537	0.04829568	0.05751506
0.05834957	0.05349425	0.06320488
0.06472749	0.05986774	0.06958723
0.06145055	0.05587020	0.06703091
0.06691215	0.06128582	0.07253849
0.06501850	0.05989074	0.07014627
0.07357041	0.06801777	0.07912305
0.07156701	0.06657351	0.07656051
0.07289240	0.06832026	0.07746453
0.06663187	0.06141871	0.07184503
0.07381449	0.06924759	0.07838139
0.07405618	0.06930684	0.07880552
0.07734684	0.07138398	0.08330970
0.06790900	0.06271163	0.07310636
0.06297204	0.05773594	0.06820814
0.06039948	0.05636615	0.06443281
0.06901604	0.06355003	0.07448205
0.06390099	0.05902385	0.06877813
0.06285088	0.05789878	0.06780299
0.06672165	0.06140522	0.07203808
0.06581594	0.06090943	0.07072246
0.05632242	0.05166400	0.06098084
0.04805593	0.04307324	0.05303862
0.05022132	0.04496538	0.05547726
0.04656087	0.04295724	0.05016449
