# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1512.56608682	1345.26269457	1679.86947907
641.90403127	573.44076654	710.36729600
416.44686659	340.28155221	492.61218097
230.56405026	176.10730396	285.02079657
74.89711353	43.72155153	106.07267554
21.44235293	9.83584715	33.04885871
1.41609830	-1.04711731	3.87931390
0.00000000	0.00000000	0.00000000
1469.40864773	1344.55076418	1594.26653128
580.91585588	526.33488089	635.49683088
210.52357944	173.55008923	247.49706965
39.87969141	21.18452461	58.57485822
2.10385448	-0.55477765	4.76248661
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1300.04634750	1191.00441957	1409.08827544
524.95310154	472.29074264	577.61546044
205.68639942	165.03185193	246.34094692
19.67060665	12.06244585	27.27876744
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1999.32048042	1852.85148037	2145.78948047
875.91902903	808.04899887	943.78905918
474.69709583	424.78918122	524.60501045
150.43763149	120.65841580	180.21684719
18.89861750	7.84940074	29.94783426
0.11019390	-0.10578614	0.32617394
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
2992.60894799	2782.38496756	3202.83292842
1952.01950464	1795.02674803	2109.01226124
1312.28270777	1184.09533935	1440.47007619
1038.98447071	918.13367767	1159.83526375
775.89482564	646.82390873	904.96574255
494.34594479	404.59492359	584.09696600
242.15993173	186.65054758	297.66931589
124.33323147	76.78203069	171.88443225
1832.34403604	1635.93256603	2028.75550606
941.25783208	839.33926210	1043.17640206
668.40843261	588.06457157	748.75229365
430.72549761	358.30498231	503.14601291
182.12069717	133.77526937	230.46612498
60.25154061	33.55264424	86.95043698
17.70379907	5.33981421	30.06778394
5.31782782	-5.10511470	15.74077034
2003.90935647	1776.21542237	2231.60329057
1211.18388618	1082.50627468	1339.86149767
947.72870895	834.52434263	1060.93307527
658.12085379	566.71066668	749.53104091
386.02989172	315.00074024	457.05904320
189.74904110	137.56115038	241.93693183
90.02016575	48.90854673	131.13178477
47.13075232	15.02055665	79.24094799
806.63771999	700.64888453	912.62655544
215.47400392	176.24612813	254.70187970
27.94797663	14.42802915	41.46792412
1.74562680	-1.21964344	4.71089704
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1612.89905114	1469.05915401	1756.73894828
694.11042442	642.93967604	745.28117281
312.99470570	255.23892034	370.75049106
69.47249778	48.65442183	90.29057373
5.58891354	-0.63739554	11.81522263
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
2100.44809281	1934.71788000	2266.17830563
980.45052485	890.21403639	1070.68701332
524.78614741	471.29292921	578.27936561
201.80458853	164.85661505	238.75256201
40.07845491	23.22799524	56.92891458
0.86994979	-0.18666128	1.92656087
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1880.49029724	1701.23608315	2059.74451133
733.72645078	665.62975483	801.82314673
384.17393365	325.09604586	443.25182144
135.99157745	101.16302320	170.82013171
23.42521612	12.22817056	34.62226168
0.94666624	-0.41962370	2.31295618
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
