# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
4.80750636	4.38765918	5.22735354
2.91749812	2.61488518	3.22011105
2.03612941	1.77252594	2.29973287
1.14795275	0.92868710	1.36721841
0.45235539	0.32294223	0.58176856
0.18177744	0.09756574	0.26598915
0.02765999	0.00907398	0.04624601
0.00040497	-0.00038877	0.00119872
7.88862096	7.47328651	8.30395541
5.29948136	4.96440305	5.63455966
2.79227997	2.48384345	3.10071648
0.78057990	0.59744534	0.96371446
0.09283074	0.03676987	0.14889162
0.00286365	-0.00274910	0.00847639
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.75194078	7.34167851	8.16220305
5.08251006	4.73940980	5.42561031
2.47091070	2.18707364	2.75474776
0.67418558	0.51502817	0.83334300
0.03904060	0.01125247	0.06682872
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
9.58153655	9.17758073	9.98549236
7.02773340	6.68461482	7.37085199
4.48322442	4.16114314	4.80530570
2.21488345	1.95515715	2.47460975
0.51602567	0.37692218	0.65512916
0.03313848	0.00749860	0.05877836
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.40319553	6.90506395	7.90132710
6.22495269	5.83536292	6.61454245
4.83619787	4.41772585	5.25466989
3.84981683	3.48134476	4.21828890
3.04049241	2.66517047	3.41581435
2.08187750	1.78338186	2.38037313
1.30253980	1.04677550	1.55830410
0.75938333	0.55091755	0.96784912
5.15387784	4.70263659	5.60511909
3.75063722	3.39830512	4.10296933
3.12102035	2.80428146	3.43775924
1.98493464	1.73742168	2.23244759
1.01732814	0.82841009	1.20624619
0.41375494	0.27355008	0.55395980
0.13747979	0.04791334	0.22704624
0.02706986	-0.01215764	0.06629737
5.59818304	5.05056988	6.14579620
4.78381293	4.31426947	5.25335639
3.88054076	3.52570682	4.23537470
2.72169729	2.42742873	3.01596585
1.79915361	1.53357290	2.06473433
1.04859716	0.83803891	1.25915541
0.46918840	0.30556078	0.63281601
0.26975895	0.13820382	0.40131408
5.39832954	5.01369375	5.78296534
2.87490809	2.53688442	3.21293176
0.73214754	0.56966034	0.89463474
0.07212022	0.00619646	0.13804398
0.00297163	-0.00285276	0.00879601
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
8.84113725	8.50852215	9.17375235
5.88914918	5.57513443	6.20316394
3.41096994	3.11986731	3.70207258
1.23739252	0.99411263	1.48067241
0.20302471	0.11188147	0.29416795
0.00818683	-0.00186318	0.01823685
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
10.10696735	9.67790249	10.53603221
7.26516443	6.90163128	7.62869758
4.74209440	4.39082389	5.09336492
2.66111781	2.35497374	2.96726188
0.80728329	0.62142023	0.99314636
0.08906818	0.04700832	0.13112803
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
8.91059135	8.41800796	9.40317474
5.99580232	5.61827068	6.37333395
3.79042205	3.39031105	4.19053305
1.72703574	1.44518329	2.00888819
0.54527324	0.37465507	0.71589142
0.06581347	0.02647819	0.10514874
0.00240915	-0.00231279	0.00713109
0.00000000	0.00000000	0.00000000
