# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
4.09432139	3.71203754	4.47660524
2.33117817	2.05828968	2.60406666
1.49807048	1.26852964	1.72761131
0.75831756	0.58671412	0.92992101
0.23932326	0.15142534	0.32722118
0.09239712	0.04086871	0.14392553
0.00352356	-0.00209201	0.00913913
0.00000000	0.00000000	0.00000000
6.25904036	5.88502067	6.63306006
3.76086806	3.46089145	4.06084468
1.48054679	1.23292882	1.72816477
0.23183428	0.13738092	0.32628764
0.01492578	-0.00312710	0.03297867
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
6.11652553	5.74642814	6.48662292
3.54879034	3.24178382	3.85579686
1.24336102	1.02979975	1.45692229
0.16563623	0.09484279	0.23642967
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.97135498	7.60726668	8.33544328
5.47093974	5.16421894	5.77766053
3.00380624	2.71722103	3.29039146
1.02704125	0.83496726	1.21911524
0.11850609	0.06191826	0.17509393
0.00073463	-0.00070524	0.00217449
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
6.69110214	6.22665146	7.15555282
5.54954374	5.18641450	5.91267298
4.20834541	3.82209218	4.59459864
3.22400951	2.88708910	3.56092991
2.44703376	2.10848740	2.78558012
1.55282356	1.29478374	1.81086339
0.88977400	0.68225869	1.09728931
0.40449707	0.25350391	0.55549023
4.48833000	4.07530897	4.90135103
3.16951278	2.85194041	3.48708516
2.49292401	2.20639150	2.77945651
1.44198149	1.23022076	1.65374222
0.61708503	0.47361770	0.76055237
0.21696260	0.11645580	0.31746941
0.06920737	0.00825099	0.13016375
0.01181740	-0.01134470	0.03497949
4.96820255	4.46933954	5.46706557
4.17116714	3.73986345	4.60247084
3.26380370	2.94024256	3.58736485
2.14492578	1.88183765	2.40801392
1.30278180	1.07615701	1.52940659
0.66820013	0.49730284	0.83909741
0.28374770	0.16076338	0.40673202
0.14173054	0.05742175	0.22603933
3.78492896	3.42730384	4.14255408
1.56896649	1.30954371	1.82838927
0.18523928	0.11184120	0.25863736
0.01827647	-0.01439468	0.05094762
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.18531153	6.88181977	7.48880330
4.34725454	4.06448289	4.63002619
1.95578025	1.70401459	2.20754592
0.47346918	0.32415985	0.62277852
0.03231315	-0.00502736	0.06965366
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
8.45413641	8.06642748	8.84184534
5.72858780	5.40183217	6.05534344
3.30353676	2.98897871	3.61809480
1.39584750	1.16083783	1.63085716
0.24189808	0.15169188	0.33210428
0.00743659	-0.00183531	0.01670848
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
7.26396050	6.80775264	7.72016836
4.49498860	4.14088054	4.84909666
2.43924447	2.09967105	2.77881789
0.82891530	0.64085849	1.01697212
0.16554104	0.08760506	0.24347702
0.00494090	-0.00192107	0.01180288
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
