# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.71318497	0.66271354	0.76365640
0.58631995	0.53953034	0.63310956
0.53805893	0.48638845	0.58972941
0.38963519	0.32911301	0.45015736
0.21303213	0.15873516	0.26732911
0.08938032	0.05290210	0.12585855
0.02413643	0.00860503	0.03966783
0.00020249	-0.00019439	0.00059936
0.81479030	0.78350876	0.84607183
0.76930665	0.73737645	0.80123684
0.65586659	0.61242449	0.69930869
0.27437281	0.22189970	0.32684592
0.03895248	0.01778813	0.06011683
0.00143182	-0.00137455	0.00423820
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.81770762	0.78698150	0.84843375
0.76685986	0.73585775	0.79786197
0.61377484	0.56630094	0.66124874
0.25427468	0.20409603	0.30445333
0.01952030	0.00562623	0.03341436
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.80509078	0.77811268	0.83206889
0.77839683	0.74979446	0.80699920
0.73970909	0.70678871	0.77262947
0.59392110	0.54629256	0.64154964
0.19875979	0.15250799	0.24501159
0.01620193	0.00385686	0.02854699
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.71209338	0.67124569	0.75294108
0.67540895	0.63930940	0.71150850
0.62785246	0.58400612	0.67169881
0.62580732	0.57722771	0.67438694
0.59345866	0.54173222	0.64518510
0.52905393	0.47308872	0.58501915
0.41276580	0.35085552	0.47467608
0.35488626	0.28183645	0.42793608
0.66554784	0.61705049	0.71404519
0.58112444	0.53526028	0.62698859
0.62809634	0.58239018	0.67380251
0.54295315	0.49081585	0.59509046
0.40024311	0.34160967	0.45887655
0.19679234	0.14437391	0.24921076
0.06827242	0.03370733	0.10283752
0.01525247	-0.00201874	0.03252368
0.62998049	0.57283386	0.68712711
0.61264578	0.56299049	0.66230108
0.61673706	0.57280216	0.66067196
0.57677150	0.52782170	0.62572131
0.49637182	0.43868899	0.55405464
0.38039703	0.32125574	0.43953833
0.18544070	0.13419285	0.23668855
0.06401421	0.03715388	0.09087453
0.80670029	0.77973542	0.83366516
0.65297080	0.59990650	0.70603510
0.27345413	0.22066013	0.32624813
0.02692187	0.00896735	0.04487640
0.00148581	-0.00142638	0.00439801
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.82791286	0.80677363	0.84905209
0.77094732	0.74216947	0.79972517
0.72759485	0.69306123	0.76212847
0.38196167	0.32698294	0.43694040
0.08535578	0.05310483	0.11760673
0.00409342	-0.00093159	0.00911842
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.82641547	0.79868447	0.85414647
0.76828831	0.73862297	0.79795366
0.71927882	0.68591763	0.75264002
0.63263516	0.58301670	0.68225362
0.28269261	0.22774620	0.33763902
0.04081579	0.02260413	0.05902745
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.82331542	0.79362989	0.85300095
0.75040686	0.72033021	0.78048351
0.67558879	0.62961860	0.72155898
0.44906022	0.38974746	0.50837298
0.18986610	0.13879457	0.24093763
0.03043628	0.01299253	0.04788003
0.00120458	-0.00115639	0.00356554
0.00000000	0.00000000	0.00000000
