# s=50 S=60
# time_s	level
0.000	40
2206.732	39
2636.214	38
2636.214	37
3861.009	36
3956.504	56
3979.129	55
3992.323	58
4239.317	57
4239.317	56
4862.915	55
4862.915	54
4885.390	53
5025.715	52
5025.715	51
5025.715	50
5149.632	49
5149.632	48
5149.632	47
5149.632	46
5149.632	45
5222.729	44
5222.729	43
5264.351	42
5689.599	41
5750.899	40
5913.515	39
5976.612	38
6052.618	37
6054.026	36
6054.026	35
6124.896	34
6124.896	33
6124.896	32
6177.774	31
6303.296	30
6436.677	29
6578.584	28
7164.340	27
7219.042	26
7219.042	25
7219.042	24
7261.216	23
7261.216	22
7987.259	21
8007.370	20
8168.793	19
8314.665	18
8314.665	17
8314.665	16
8314.665	15
8338.669	14
8421.523	13
8576.766	12
8604.785	11
9117.945	10
9117.945	9
9141.512	29
9464.605	28
9477.367	27
9632.830	26
9636.100	39
9812.051	38
10024.976	37
10719.628	36
10722.190	35
10722.190	34
10722.190	33
10779.379	32
11130.730	31
11340.001	30
11340.001	29
11340.001	28
11470.695	27
11582.230	26
11582.230	25
11609.684	24
11789.906	23
11899.736	22
11931.146	21
11931.146	20
12002.578	19
12002.578	18
12093.177	17
12445.373	16
12445.373	15
12445.373	14
12519.600	22
12648.484	21
12648.484	20
12648.484	19
12775.548	18
12775.548	17
12775.548	16
13019.967	15
13019.967	14
13083.822	13
13186.158	12
13513.678	32
13562.081	31
13562.081	30
13562.081	29
13577.790	28
13650.566	27
13690.526	26
13775.694	25
13838.542	24
13920.220	23
13920.220	22
14015.426	21
14079.199	20
14174.888	19
14174.888	18
14179.977	17
14188.688	16
14248.409	15
14584.272	14
14584.272	13
14625.567	12
15037.244	11
15117.154	10
15117.154	9
15312.515	8
15323.176	7
15408.649	6
15626.691	5
15728.924	4
15911.884	3
15911.884	2
15911.884	1
15911.884	0
15981.523	0
16159.293	0
16540.172	20
16568.372	19
16568.372	18
16568.372	17
16568.372	16
16612.873	21
16709.827	20
16709.827	19
16763.984	18
16871.814	17
16899.406	37
16907.571	36
16988.732	35
16988.732	34
17003.971	33
17031.763	32
17096.251	31
17108.736	30
17147.330	29
17230.021	28
17269.454	27
17337.380	26
17374.503	25
17389.860	24
17389.860	23
17439.430	22
17516.633	21
17516.633	20
17753.028	19
17753.028	18
17753.028	17
17916.981	16
18142.111	15
18142.111	14
18152.432	13
18291.613	12
18326.201	11
18398.154	10
18795.026	9
18795.026	8
18795.026	7
18795.026	6
18795.026	5
18795.026	4
18795.026	3
18846.359	2
18949.140	1
19070.084	0
19119.672	0
19187.372	0
19187.372	0
19290.436	0
19752.968	0
19858.281	0
19858.281	0
19858.281	0
19858.281	0
19903.744	0
20277.379	0
20277.379	0
20277.379	0
20294.050	0
20647.281	0
20807.787	0
20851.024	0
20851.024	0
21239.380	20
21455.899	19
21489.684	39
21514.949	38
21526.828	42
21679.592	41
21731.082	40
22180.946	39
22180.946	38
22268.989	37
22315.895	36
22509.224	35
22550.638	34
22648.184	33
22648.184	32
22648.184	31
22648.184	30
22721.217	29
22721.217	28
22738.910	27
22864.936	26
22864.936	25
22864.936	24
22864.936	23
22864.936	22
22970.280	21
23108.284	20
23152.649	19
23261.302	18
