# mean	lower_ci	upper_ci
0.00781250	-0.00750000	0.02312500
0.00000000	0.00000000	0.00000000
0.01562500	-0.00594472	0.03719472
0.02343750	-0.00287486	0.04974986
0.07812500	-0.00776784	0.16401784
0.03125000	0.00098887	0.06151113
0.02343750	-0.00287486	0.04974986
0.01562500	-0.01500000	0.04625000
0.01562500	-0.00594472	0.03719472
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.01562500	-0.00594472	0.03719472
0.03125000	0.00098887	0.06151113
0.00781250	-0.00750000	0.02312500
0.02343750	-0.01069428	0.05756928
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.00000000	0.00000000	0.00000000
0.01562500	-0.00594472	0.03719472
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.01562500	-0.00594472	0.03719472
0.01562500	-0.00594472	0.03719472
0.03125000	0.00098887	0.06151113
0.03906250	0.00536623	0.07275877
0.00000000	0.00000000	0.00000000
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.00781250	-0.00750000	0.02312500
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.00000000	0.00000000	0.00000000
0.04687500	0.01011294	0.08363706
0.09375000	0.00833135	0.17916865
0.04687500	0.00416567	0.08958433
0.07031250	0.02081541	0.11980959
0.03125000	0.00098887	0.06151113
0.00781250	-0.00750000	0.02312500
0.00000000	0.00000000	0.00000000
0.02343750	-0.01069428	0.05756928
0.01562500	-0.00594472	0.03719472
0.00000000	0.00000000	0.00000000
0.00781250	-0.00750000	0.02312500
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.01562500	-0.00594472	0.03719472
0.02343750	-0.00287486	0.04974986
0.03906250	-0.01146820	0.08959320
0.03125000	0.00098887	0.06151113
0.01562500	-0.00594472	0.03719472
0.02343750	-0.00287486	0.04974986
0.03125000	-0.00601088	0.06851088
0.00781250	-0.00750000	0.02312500
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00781250	-0.00750000	0.02312500
0.01562500	-0.00594472	0.03719472
0.01562500	-0.00594472	0.03719472
0.00000000	0.00000000	0.00000000
0.01562500	-0.00594472	0.03719472
0.01562500	-0.00594472	0.03719472
0.01562500	-0.01500000	0.04625000
0.01562500	-0.00594472	0.03719472
0.03906250	0.00536623	0.07275877
0.04687500	0.00416567	0.08958433
0.12500000	0.04365549	0.20634451
0.33593750	0.17577032	0.49610468
0.20312500	0.09364533	0.31260467
0.18750000	0.07718036	0.29781964
0.20312500	0.09805110	0.30819890
0.10156250	0.02366131	0.17946369
0.11718750	0.03995275	0.19442225
0.14062500	0.04163081	0.23961919
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.03906250	-0.00103833	0.07916333
0.01562500	-0.00594472	0.03719472
0.03125000	-0.01705786	0.07955786
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
0.00781250	-0.00750000	0.02312500
