# mean	lower_ci	upper_ci
2.92968750	2.63786294	3.22151206
2.69531250	2.41055809	2.98006691
2.76562500	2.47927683	3.05197317
2.76562500	2.47355696	3.05769304
3.03906250	2.70692583	3.37119917
3.12500000	2.82297501	3.42702499
3.05468750	2.75874182	3.35063318
3.13281250	2.81599298	3.44963202
5.37500000	4.97177872	5.77822128
5.53125000	5.12923932	5.93326068
5.41406250	5.03157809	5.79654691
5.98437500	5.58766226	6.38108774
6.89062500	6.39954858	7.38170142
7.18750000	6.74421774	7.63078226
6.95312500	6.48641357	7.41983643
7.38281250	6.93403535	7.83158965
7.54687500	7.07312772	8.02062228
7.72656250	7.24891275	8.20421225
7.49218750	7.02288230	7.96149270
7.53906250	7.04814589	8.02997911
6.35156250	5.95448925	6.74863575
6.62500000	6.17681358	7.07318642
6.49218750	6.05198340	6.93239160
5.98437500	5.56226475	6.40648525
7.69531250	7.17420013	8.21642487
8.68750000	8.16178625	9.21321375
8.23437500	7.69502245	8.77372755
8.32812500	7.87307879	8.78317121
9.78125000	9.15005738	10.41244262
10.35156250	9.80260981	10.90051519
10.75781250	10.21922212	11.29640288
10.26562500	9.73958123	10.79166877
9.60937500	9.09941269	10.11933731
9.19531250	8.64529806	9.74532694
9.42187500	8.91266628	9.93108372
9.45312500	8.97788359	9.92836641
7.83593750	7.34701063	8.32486437
7.39843750	6.93759589	7.85927911
8.26562500	7.78957622	8.74167378
7.43750000	6.95785800	7.91714200
5.36718750	4.99071650	5.74365850
4.80468750	4.42872687	5.18064813
4.67187500	4.34860321	4.99514679
4.83593750	4.45329866	5.21857634
5.75000000	5.28779627	6.21220373
6.11718750	5.67987843	6.55449657
5.62500000	5.14919174	6.10080826
6.15625000	5.71260138	6.59989862
5.91406250	5.50041071	6.32771429
5.90625000	5.43823496	6.37426504
6.10937500	5.66530211	6.55344789
6.07812500	5.67221126	6.48403874
5.19531250	4.76101977	5.62960523
4.89843750	4.52324373	5.27363127
4.99218750	4.61784106	5.36653394
5.09375000	4.69027239	5.49722761
4.40625000	4.01829949	4.79420051
4.54687500	4.10781947	4.98593053
4.60937500	4.23142343	4.98732657
4.36718750	4.01004428	4.72433072
5.70312500	5.27469377	6.13155623
5.48437500	5.06960666	5.89914334
5.39062500	4.95352496	5.82772504
5.39843750	4.97837260	5.81850240
6.49218750	6.02187628	6.96249872
6.38281250	5.96174670	6.80387830
7.05468750	6.60475992	7.50461508
6.46875000	5.97541550	6.96208450
7.54687500	7.09143946	8.00231054
8.01562500	7.48488519	8.54636481
8.22656250	7.68383339	8.76929161
8.25781250	7.77743394	8.73819106
8.95312500	8.47293673	9.43331327
9.32031250	8.82745913	9.81316587
9.10937500	8.54696460	9.67178540
9.65625000	9.12131763	10.19118237
10.42968750	9.81145257	11.04792243
10.97656250	10.43155219	11.52157281
11.13281250	10.61133180	11.65429320
11.17968750	10.63555866	11.72381634
11.90625000	11.28353837	12.52896163
11.59375000	11.03420286	12.15329714
11.63281250	11.12301856	12.14260644
11.58593750	11.02130743	12.15056757
9.18750000	8.61282126	9.76217874
9.57812500	9.07451615	10.08173385
9.42968750	8.89597311	9.96340189
9.72656250	9.17884887	10.27427613
9.32812500	8.73788289	9.91836711
9.53906250	9.00569415	10.07243085
9.72656250	9.13447934	10.31864566
9.74218750	9.17392002	10.31045498
7.92968750	7.44298604	8.41638896
7.00781250	6.54740376	7.46822124
7.27343750	6.81807697	7.72879803
7.30468750	6.90942242	7.69995258
