# mean	lower_ci	upper_ci
0.75127127	0.64499295	0.85754958
1.01277567	0.87535763	1.15019371
1.08322927	0.94636281	1.22009573
1.11014051	0.95654185	1.26373916
1.31086875	1.10576534	1.51597217
1.24142789	1.06265748	1.42019830
1.15829491	1.01358303	1.30300680
1.09206600	0.95138161	1.23275040
1.90279428	1.70171713	2.10387142
3.30777650	3.06352283	3.55203018
3.21881907	2.98033092	3.45730721
3.30015334	3.03635016	3.56395653
3.32902531	3.02605915	3.63199148
3.91931584	3.56609619	4.27253549
3.25689483	2.94081519	3.57297447
3.25112814	2.94948642	3.55276986
3.67446610	3.36482811	3.98410409
5.96854675	5.56909120	6.36800229
7.03928358	6.62578723	7.45277994
7.56294149	7.09662470	8.02925828
5.77369360	5.33486919	6.21251801
4.42718023	4.03003430	4.82432616
3.53471453	3.17229909	3.89712997
3.05012383	2.71998155	3.38026611
3.63060910	3.30664519	3.95457300
6.79487636	6.31902075	7.27073197
7.99182323	7.49435493	8.48929153
7.86753300	7.35920179	8.37586421
7.41895555	6.93467811	7.90323299
7.38800490	6.78561404	7.99039576
6.90919461	6.26099567	7.55739356
6.82394852	6.19114663	7.45675041
6.36843949	5.72095720	7.01592178
8.76803426	8.08806109	9.44800744
9.55645624	8.92254493	10.19036756
10.54830359	9.92728608	11.16932111
9.94801972	9.36364337	10.53239607
8.33186448	7.72993314	8.93379581
6.53002705	6.00949462	7.05055948
4.82256737	4.40409723	5.24103750
3.29812039	2.93392487	3.66231590
3.13985697	2.83751403	3.44219991
2.98025146	2.73087107	3.22963184
2.98728790	2.74844393	3.22613186
3.21435584	2.97437872	3.45433297
3.84885617	3.48394102	4.21377132
3.58932558	3.21074598	3.96790517
3.63514175	3.23882393	4.03145957
3.33504659	3.04110410	3.62898908
3.46342577	3.15128793	3.77556360
3.74643641	3.46616303	4.02670979
3.80614307	3.48260893	4.12967722
3.25182826	2.92458472	3.57907181
2.69326800	2.41384172	2.97269428
2.13085900	1.92804426	2.33367374
2.11772342	1.90499125	2.33045559
1.95375043	1.74833082	2.15917003
2.61323910	2.38909931	2.83737889
3.03719186	2.76192481	3.31245890
2.92805549	2.67680259	3.17930840
3.05848765	2.80086575	3.31610956
3.44366004	3.12359440	3.76372567
2.91495420	2.65614482	3.17376357
2.55654397	2.28937345	2.82371448
3.12234681	2.83961711	3.40507652
4.97596853	4.69391574	5.25802132
5.52331716	5.14024816	5.90638616
4.82856371	4.41608555	5.24104186
3.90995076	3.56429403	4.25560749
4.08034055	3.71751093	4.44317018
3.73661599	3.38374781	4.08948417
3.81288821	3.48796570	4.13781072
4.78348924	4.36456037	5.20241811
7.69567556	7.22781446	8.16353666
9.16817096	8.64026513	9.69607679
10.10058062	9.52116037	10.68000086
9.11069987	8.44610954	9.77529020
9.54680163	8.77030622	10.32329703
9.33094724	8.50730838	10.15458609
8.37966889	7.60353210	9.15580568
9.06556105	8.25675275	9.87436936
13.05456687	12.09780964	14.01132409
14.53268864	13.43409481	15.63128246
15.70248977	14.62895083	16.77602871
15.14036680	14.03850930	16.24222431
13.95518843	12.82825548	15.08212137
11.62891233	10.45899582	12.79882885
9.62951200	8.57194845	10.68707555
8.62826290	7.67783256	9.57869325
10.44143271	9.44923634	11.43362909
11.89672162	10.88006444	12.91337881
11.74940949	10.84321704	12.65560194
9.94590914	9.15691930	10.73489898
8.49543325	7.60834317	9.38252334
6.27446162	5.53702597	7.01189727
4.81280440	4.23301433	5.39259446
