# mean	lower_ci	upper_ci
2.15625000	1.90795644	2.40454356
2.72656250	2.43109132	3.02203368
2.51562500	2.25205267	2.77919733
2.76562500	2.47599450	3.05525550
3.03125000	2.72231102	3.34018898
3.12500000	2.79601055	3.45398945
2.89843750	2.61594840	3.18092660
3.21093750	2.92035558	3.50151942
4.62500000	4.23731608	5.01268392
5.71875000	5.34223732	6.09526268
5.32812500	4.92660142	5.72964858
5.88281250	5.49414168	6.27148332
6.44531250	5.96662799	6.92399701
7.15625000	6.72888017	7.58361983
6.68750000	6.27343556	7.10156444
7.41406250	6.94198026	7.88614474
7.68750000	7.21882270	8.15617730
7.44531250	7.01061185	7.88001315
7.69531250	7.18519996	8.20542504
7.35156250	6.88347054	7.81965446
6.88281250	6.43535374	7.33027126
6.39062500	5.95406595	6.82718405
6.50781250	6.03850730	6.97711770
6.07812500	5.62178232	6.53446768
7.31250000	6.82844402	7.79655598
8.45312500	7.96901563	8.93723437
8.07812500	7.56200186	8.59424814
8.53125000	8.01911287	9.04338713
9.32812500	8.74190032	9.91434968
10.21875000	9.66621541	10.77128459
10.30468750	9.75963654	10.84973846
10.56250000	10.00408905	11.12091095
9.74218750	9.26924565	10.21512935
9.32031250	8.79004078	9.85058422
9.29687500	8.78917681	9.80457319
9.53125000	9.02468038	10.03781962
8.35937500	7.87435121	8.84439879
7.51562500	7.06012461	7.97112539
7.93750000	7.48368074	8.39131926
7.88281250	7.40520914	8.36041586
5.71093750	5.32133676	6.10053824
5.03125000	4.68209243	5.38040757
4.70312500	4.35098730	5.05526270
4.79687500	4.40897208	5.18477792
5.20312500	4.79619370	5.61005630
5.81250000	5.39559168	6.22940832
5.89062500	5.47628421	6.30496579
5.66406250	5.26126497	6.06686003
6.50000000	6.11414911	6.88585089
5.72656250	5.23525492	6.21787008
6.03906250	5.61840029	6.45972471
6.20312500	5.81037855	6.59587145
5.57812500	5.13545124	6.02079876
4.90625000	4.53830817	5.27419183
4.84375000	4.46567145	5.22182855
5.27343750	4.88714905	5.65972595
4.46093750	4.09656809	4.82530691
4.25000000	3.86599090	4.63400910
4.75781250	4.39484427	5.12078073
4.35156250	4.00399751	4.69912749
5.03125000	4.66491737	5.39758263
5.57812500	5.16300072	5.99324928
5.42187500	4.99165483	5.85209517
5.48437500	5.08233677	5.88641323
6.34375000	5.88905285	6.79844715
6.46875000	6.04443236	6.89306764
6.66406250	6.21837319	7.10975181
6.85156250	6.34027866	7.36284634
7.10937500	6.65219158	7.56655842
8.07031250	7.51639129	8.62423371
8.07812500	7.55157608	8.60467392
8.36718750	7.87436410	8.86001090
8.27343750	7.80933831	8.73753669
9.39843750	8.92695008	9.86992492
9.07031250	8.52024436	9.62038064
9.81250000	9.27522583	10.34977417
9.88281250	9.33384636	10.43177864
10.61718750	10.11663254	11.11774246
11.02343750	10.50055668	11.54631832
11.05468750	10.50887832	11.60049668
10.75000000	10.12821409	11.37178591
11.52343750	10.99628059	12.05059441
11.50000000	10.93350105	12.06649895
11.06250000	10.49070703	11.63429297
10.38281250	9.80225416	10.96337084
9.35937500	8.84091057	9.87783943
9.04687500	8.59613362	9.49761638
9.95312500	9.41536310	10.49088690
9.45312500	8.95127893	9.95497107
9.57812500	8.98928587	10.16696413
9.88281250	9.30859817	10.45702683
9.68750000	9.11076882	10.26423118
8.49218750	7.98605724	8.99831776
7.25000000	6.76777827	7.73222173
7.32812500	6.83855472	7.81769528
7.16406250	6.77651433	7.55161067
