# batch	value
1	0.31516785
2	0.38785733
3	0.34150075
4	0.34434012
5	0.39076782
6	0.31075772
7	0.34071283
8	0.31806035
9	0.32458293
10	0.36971770
11	0.37211282
12	0.33821173
13	0.34800949
14	0.33079269
15	0.30099988
16	0.36694179
17	0.35103368
18	0.35418166
19	0.40187133
20	0.42040191
21	0.38003632
22	0.32821124
23	0.36943258
24	0.33722755
25	0.37670843
26	0.36691796
27	0.38582272
28	0.32432722
29	0.35930248
30	0.39756716
31	0.33533822
32	0.33222991
33	0.29901619
34	0.30294086
35	0.32169839
36	0.36695502
37	0.37748607
38	0.29844827
39	0.39286782
40	0.31398880
41	0.36022327
42	0.45553610
43	0.37612037
44	0.33696965
45	0.33711465
46	0.33505881
47	0.44794845
48	0.35390005
49	0.32849103
50	0.36958987
51	0.42374242
52	0.34802345
53	0.35998325
54	0.37586372
55	0.30056825
56	0.34421068
57	0.39455674
58	0.34086783
59	0.37646232
60	0.36564916
61	0.38961342
62	0.37459400
63	0.33807100
64	0.33138814
