# batch	value
1	53.46281652
2	59.81676878
3	55.91335494
4	56.37152995
5	58.35491502
6	53.86368373
7	55.58185199
8	53.45934248
9	53.93708436
10	57.12279831
11	57.81605589
12	56.23647918
13	56.17060064
14	55.09698487
15	53.72883094
16	57.52754474
17	56.48738833
18	56.20521284
19	60.33411715
20	62.45792973
21	57.92563002
22	54.33717278
23	59.03317572
24	55.08990089
25	58.18541927
26	56.87059507
27	57.78640549
28	55.44475565
29	56.51711468
30	60.02124089
31	54.39545021
32	54.69895374
33	52.34509467
34	52.29426434
35	54.28593840
36	55.68680201
37	58.35944153
38	53.14086460
39	60.23971540
40	54.89706968
41	57.39501429
42	63.65111680
43	58.59307526
44	55.00325488
45	55.20081485
46	55.66668999
47	63.22293984
48	57.11820463
49	54.93729938
50	58.05558806
51	60.73573546
52	56.75737605
53	57.37552612
54	57.61834307
55	52.11242636
56	55.55901836
57	59.88506645
58	55.22743497
59	57.51069271
60	57.88990315
61	59.92980547
62	58.00750154
63	55.81737055
64	54.57701020
