# batch	value
1	0.44628173
2	0.46250737
3	0.45217948
4	0.44755441
5	0.45895212
6	0.44391568
7	0.45541784
8	0.44852047
9	0.44188883
10	0.45185457
11	0.46262337
12	0.45988200
13	0.45715551
14	0.44051697
15	0.44531241
16	0.45884770
17	0.46472767
18	0.45535114
19	0.45933916
20	0.47303632
21	0.46628706
22	0.46351116
23	0.45844535
24	0.44833055
25	0.46222738
26	0.46758689
27	0.46878453
28	0.46100672
29	0.45434932
30	0.46630046
31	0.44996342
32	0.44904348
33	0.44009707
34	0.43776116
35	0.43512515
36	0.45578545
37	0.44524236
38	0.44496492
39	0.47641688
40	0.44997247
41	0.45593050
42	0.47891329
43	0.45864443
44	0.45646809
45	0.44255738
46	0.45204146
47	0.47335520
48	0.46078885
49	0.45577500
50	0.46209073
51	0.46884956
52	0.45707725
53	0.46853766
54	0.46061261
55	0.43960784
56	0.44676931
57	0.46120429
58	0.46339461
59	0.45295034
60	0.46231676
61	0.48365734
62	0.44778549
63	0.45349375
64	0.45483313
