# batch	value
1	324.24321568
2	337.62530267
3	326.55534450
4	335.88235278
5	341.76465246
6	343.39683406
7	335.74666086
8	315.13045028
9	348.52880216
10	339.38998396
11	317.19534993
12	341.66997453
13	331.16513022
14	339.85003183
15	313.13028117
16	320.40558008
17	342.14966143
18	329.26921185
19	351.03076797
20	344.57293404
21	335.25426828
22	311.74742262
23	336.05575372
24	332.46391634
25	338.58713244
26	318.92505586
27	340.03935801
28	332.29387693
29	319.49449160
30	337.92645040
31	332.12995622
32	327.94928884
33	336.22348519
34	322.59488519
35	305.98188760
36	336.41552276
37	319.07804728
38	351.44295572
39	345.98423080
40	329.17706822
41	331.04561187
42	355.03139273
43	331.31228370
44	323.39821878
45	329.42839301
46	344.42219922
47	326.72846630
48	328.80304944
49	349.42561042
50	323.85321223
51	339.92869161
52	327.40955075
53	338.76179010
54	290.61646223
55	313.40678288
56	325.14298384
57	354.94786922
58	346.80643969
59	346.69913688
60	327.18895412
61	347.34937381
62	321.83764810
63	340.39202029
64	328.91911153
