# batch	value
1	0.54005424
2	0.56060743
3	0.54425517
4	0.53870492
5	0.55679182
6	0.53416870
7	0.56175443
8	0.54453737
9	0.56253970
10	0.55536469
11	0.55905395
12	0.55064959
13	0.55785115
14	0.53627826
15	0.54567888
16	0.55679620
17	0.55689482
18	0.55833490
19	0.57161191
20	0.57886158
21	0.54035027
22	0.54275647
23	0.56486840
24	0.55478370
25	0.56290143
26	0.55870858
27	0.56797243
28	0.55178730
29	0.55716831
30	0.55251867
31	0.54669110
32	0.54473236
33	0.54011101
34	0.53636250
35	0.53463292
36	0.55014534
37	0.54535064
38	0.55396231
39	0.56340439
40	0.53484978
41	0.54031328
42	0.56776325
43	0.53955938
44	0.53304520
45	0.55138231
46	0.55920724
47	0.56417092
48	0.55631925
49	0.54571257
50	0.54969303
51	0.54994687
52	0.54656857
53	0.55277551
54	0.54190397
55	0.54708663
56	0.54673946
57	0.56955555
58	0.56076071
59	0.54062928
60	0.54529754
61	0.58590992
62	0.53823292
63	0.55164678
64	0.55184669
