# batch	value
1	0.00093387
2	0.00418122
3	0.00222467
4	0.00404102
5	0.00223417
6	0.00231447
7	0.00233472
8	0.00201017
9	0.00176400
10	0.00123579
11	0.00191386
12	0.00455108
13	0.00162497
14	0.00029381
15	0.00075511
16	0.00155693
17	0.00393404
18	0.00274329
19	0.00291303
20	0.00155423
21	0.00097536
22	0.00278941
23	0.00195122
24	0.00268657
25	0.00236449
26	0.00193993
27	0.00347593
28	0.00331647
29	0.00356880
30	0.00088959
31	0.00078806
32	0.00227873
33	0.00221339
34	0.00372246
35	0.00291915
36	0.00204545
37	0.00339331
38	0.00450327
39	0.00319699
40	0.00088289
41	0.00314380
42	0.00102915
43	0.00259065
44	0.00061893
45	0.00267002
46	0.00470358
47	0.00297074
48	0.00206626
49	0.00366800
50	0.00136113
51	0.00481543
52	0.00089868
53	0.00073903
54	0.00219087
55	0.00162547
56	0.00226676
57	0.00203970
58	0.00140245
59	0.00278823
60	0.00184585
61	0.00253174
62	0.00177882
63	0.00360950
64	0.00257513
