# batch	value
1	55.40828070
2	62.29594642
3	59.44823376
4	67.09169756
5	55.66882354
6	68.04085145
7	71.26978275
8	66.70747257
9	64.45515197
10	63.01480190
11	65.55647227
12	67.78850328
13	63.24166581
14	60.50953534
15	56.53205560
16	64.59867013
17	67.82227042
18	64.37404087
19	66.40720329
20	61.93150553
21	65.18961697
22	60.80729345
23	56.10778844
24	67.37409922
25	55.94066939
26	60.91123480
27	55.80294184
28	68.16571459
29	70.76043285
30	65.71657341
31	56.73437221
32	64.75412223
33	66.02364214
34	69.11810505
35	59.98778595
36	55.77704258
37	68.10725598
38	65.41783913
39	64.99213415
40	51.01101910
41	63.81132520
42	59.63825810
43	64.62810430
44	60.42279312
45	57.17710777
46	64.45101183
47	63.71102337
48	60.73991542
49	66.67294017
50	58.38188257
51	75.01435404
52	57.92670618
53	58.06985759
54	65.59762344
55	58.63772289
56	60.85215015
57	58.27619830
58	64.12283499
59	62.64349642
60	54.29088664
61	65.43347368
62	61.67548272
63	66.12962098
64	59.22383959
