# batch	value
1	0.04228884
2	0.04189119
3	0.03457696
4	0.04414327
5	0.04628967
6	0.05219214
7	0.05277807
8	0.04896754
9	0.04384360
10	0.04487435
11	0.05072394
12	0.04027809
13	0.04732036
14	0.03830253
15	0.03982685
16	0.04663436
17	0.04274428
18	0.04289291
19	0.04869731
20	0.04939642
21	0.05127905
22	0.04359494
23	0.03775570
24	0.05176591
25	0.04749773
26	0.04771505
27	0.04196321
28	0.05215269
29	0.05386032
30	0.04654734
31	0.04150368
32	0.04361453
33	0.04628047
34	0.04825223
35	0.04173035
36	0.04384729
37	0.04608946
38	0.05055112
39	0.04126818
40	0.03833125
41	0.05081396
42	0.04260116
43	0.04910723
44	0.04270095
45	0.04312360
46	0.04317321
47	0.04450717
48	0.03647547
49	0.04101497
50	0.04582808
51	0.05306490
52	0.04476681
53	0.04286451
54	0.04299689
55	0.04453597
56	0.04666365
57	0.04471474
58	0.04897409
59	0.05130377
60	0.03665454
61	0.05150255
62	0.03629724
63	0.04936493
64	0.03837338
