# batch	value
1	0.03990335
2	0.02403213
3	0.02760741
4	0.02715456
5	0.03324905
6	0.03008874
7	0.02631446
8	0.02019149
9	0.03636497
10	0.04731237
11	0.03711544
12	0.02958149
13	0.04553834
14	0.02859217
15	0.03046795
16	0.05774140
17	0.03128438
18	0.03589738
19	0.03826652
20	0.03302699
21	0.03842889
22	0.03570935
23	0.02648720
24	0.05305319
25	0.03679385
26	0.04513276
27	0.04893462
28	0.04247399
29	0.03761233
30	0.03198174
31	0.03815841
32	0.03854395
33	0.02541314
34	0.01868393
35	0.02290622
36	0.05636637
37	0.03333743
38	0.02345801
39	0.04473906
40	0.04702115
41	0.03042603
42	0.03087825
43	0.03259375
44	0.03951848
45	0.02690297
46	0.03473998
47	0.05356914
48	0.03396145
49	0.04837961
50	0.05255895
51	0.04585444
52	0.02709202
53	0.03331692
54	0.04243064
55	0.02605872
56	0.04544379
57	0.03666191
58	0.02957719
59	0.03583289
60	0.05298000
61	0.05158527
62	0.03307480
63	0.03332122
64	0.02794697
