# batch	value
1	266.85666037
2	268.02855268
3	269.58424967
4	262.21581416
5	268.10650136
6	265.26797331
7	263.91995702
8	265.17794907
9	267.86056123
10	269.80503296
11	272.24905477
12	264.68164032
13	272.09384317
14	267.48647589
15	264.51986665
16	278.73509768
17	266.91918880
18	270.21663087
19	269.43458356
20	273.52429165
21	270.37001412
22	268.76157699
23	268.28942084
24	272.58609203
25	268.81892307
26	264.20672671
27	271.16458432
28	265.30824087
29	266.71120253
30	272.17680475
31	269.27128163
32	271.20508229
33	259.72847434
34	265.44963356
35	263.71840090
36	273.07279575
37	272.50836652
38	262.60158914
39	273.00473203
40	271.81657324
41	267.60333369
42	276.94257725
43	265.35194750
44	270.56896466
45	267.31450782
46	267.01273072
47	273.30289952
48	274.39983897
49	272.65861941
50	270.98609268
51	276.61968541
52	260.02175730
53	266.07884195
54	270.80782181
55	259.69139106
56	267.36615696
57	272.26515343
58	267.51194496
59	267.99079963
60	272.64320551
61	273.83595023
62	271.59963400
63	273.19085921
64	267.70069338
