# batch	value
1	0.38644239
2	0.38827237
3	0.38553761
4	0.37563773
5	0.38858229
6	0.38102946
7	0.37841608
8	0.38304328
9	0.39375713
10	0.38875777
11	0.38752008
12	0.38020921
13	0.39427512
14	0.38613351
15	0.38019868
16	0.39445493
17	0.38425188
18	0.39297813
19	0.38226412
20	0.38970727
21	0.38931417
22	0.39637830
23	0.37833558
24	0.39710684
25	0.38861630
26	0.38576735
27	0.39860684
28	0.37089477
29	0.39241671
30	0.38463006
31	0.39744467
32	0.39953133
33	0.37828560
34	0.38196918
35	0.37578296
36	0.40523919
37	0.38467153
38	0.37594458
39	0.39472465
40	0.38064690
41	0.38070679
42	0.39065590
43	0.37390589
44	0.38718769
45	0.38160427
46	0.38237227
47	0.39166272
48	0.39377416
49	0.39562782
50	0.38770128
51	0.39901985
52	0.37354782
53	0.38879865
54	0.39716181
55	0.38502069
56	0.38197475
57	0.39309979
58	0.38627586
59	0.38535574
60	0.38568992
61	0.40565441
62	0.38205304
63	0.39237972
64	0.39818699
