# batch	value
1	0.00248481
2	0.00199265
3	0.00238937
4	0.00209665
5	0.00217526
6	0.00262507
7	0.00280029
8	0.00224398
9	0.00196466
10	0.00221613
11	0.00202408
12	0.00210548
13	0.00248116
14	0.00239679
15	0.00223364
16	0.00236146
17	0.00280155
18	0.00261436
19	0.00212929
20	0.00321720
21	0.00232316
22	0.00289473
23	0.00228750
24	0.00226059
25	0.00231092
26	0.00233385
27	0.00235269
28	0.00230597
29	0.00219985
30	0.00208520
31	0.00235961
32	0.00240386
33	0.00267036
34	0.00204214
35	0.00183439
36	0.00188697
37	0.00219988
38	0.00228978
39	0.00225153
40	0.00202140
41	0.00210228
42	0.00237114
43	0.00214837
44	0.00226208
45	0.00245149
46	0.00269750
47	0.00256159
48	0.00175479
49	0.00210305
50	0.00194449
51	0.00270565
52	0.00260751
53	0.00237579
54	0.00193125
55	0.00210100
56	0.00225081
57	0.00181546
58	0.00238039
59	0.00210012
60	0.00258756
61	0.00243101
62	0.00245271
63	0.00205483
64	0.00204419
