# batch	value
1	3.13959866
2	3.10425814
3	3.08994494
4	3.15439092
5	3.10238349
6	3.22436430
7	3.20613664
8	3.20458187
9	3.07726186
10	3.12205745
11	3.13910975
12	3.13372108
13	3.18295332
14	3.14181844
15	3.16202106
16	3.17167101
17	3.07678991
18	3.17449849
19	3.14532414
20	3.10241387
21	3.13569598
22	3.25661073
23	3.16252308
24	3.17277852
25	3.10847449
26	3.16397700
27	3.06432520
28	3.13679468
29	3.15767264
30	3.08187447
31	3.14251560
32	3.20685569
33	3.19556357
34	3.14708313
35	3.16552859
36	3.03693155
37	3.14533124
38	3.12618504
39	3.13604541
40	3.09414520
41	3.16721567
42	3.09898057
43	3.20600203
44	3.15812876
45	3.08447179
46	3.19845063
47	3.15648650
48	3.15004754
49	3.07202306
50	3.09833474
51	3.23660678
52	3.06276009
53	3.28037136
54	3.14866823
55	3.20908295
56	3.11120270
57	2.98563187
58	3.20006301
59	3.21517638
60	3.19923264
61	3.18270026
62	3.14070636
63	3.06576847
64	3.12731630
