# batch	value
1	1.74195455
2	1.78781014
3	1.73451524
4	1.69705164
5	1.85919278
6	1.61370854
7	1.81105540
8	1.74174199
9	1.70123453
10	1.76678015
11	1.82577982
12	1.82827967
13	1.76445988
14	1.70835092
15	1.73735646
16	1.82257766
17	1.84586659
18	1.85144504
19	1.81519702
20	1.87741780
21	1.76104390
22	1.83022304
23	1.77268714
24	1.81667574
25	1.81813370
26	1.90255665
27	1.88307448
28	1.86499153
29	1.82281267
30	1.79234127
31	1.70524696
32	1.72409050
33	1.67606895
34	1.67675704
35	1.72674545
36	1.72306361
37	1.70137891
38	1.72764669
39	1.83750011
40	1.72187643
41	1.76386944
42	1.86453845
43	1.73797684
44	1.74007760
45	1.71192758
46	1.75824817
47	1.87379109
48	1.83941198
49	1.69941283
50	1.79133014
51	1.83030485
52	1.71460230
53	1.83749072
54	1.87102373
55	1.71373439
56	1.75608584
57	1.81628681
58	1.86483552
59	1.66096880
60	1.73795335
61	1.96540885
62	1.76783950
63	1.69683953
64	1.78380775
