# batch	value
1	879.42639486
2	903.31806454
3	880.26454862
4	887.34887422
5	908.70204635
6	851.41129368
7	908.05309090
8	898.18028188
9	879.63436559
10	894.33523146
11	895.42668777
12	908.14676056
13	878.04549133
14	884.37724814
15	887.52417833
16	912.40859346
17	909.20392522
18	915.92158190
19	911.48361314
20	914.99932525
21	889.46626605
22	908.69171413
23	889.54961765
24	899.71098761
25	895.73552219
26	926.18850587
27	922.98145278
28	909.22407245
29	900.50247102
30	895.77147604
31	882.15114212
32	894.36790397
33	873.87499784
34	877.55470926
35	886.34602882
36	880.81353261
37	867.69762668
38	875.10175645
39	913.22182902
40	894.46991437
41	887.88289777
42	906.07062374
43	879.74636253
44	888.20927307
45	866.20878000
46	894.68018831
47	916.85263338
48	919.86574648
49	886.05684618
50	894.49602996
51	904.73459158
52	884.07695426
53	905.28831638
54	912.42698339
55	890.96856590
56	896.12121340
57	909.34295064
58	912.62869629
59	840.57108557
60	883.35910146
61	927.80467018
62	901.74709786
63	880.87422017
64	892.56762012
