# batch	value
1	0.21921866
2	0.18707519
3	0.26475012
4	0.17884815
5	0.22573512
6	0.18871849
7	0.22169095
8	0.24677562
9	0.21473101
10	0.24665313
11	0.26976688
12	0.21091101
13	0.24033248
14	0.22305954
15	0.20025595
16	0.31110542
17	0.22169338
18	0.22642470
19	0.21121988
20	0.23400905
21	0.23605872
22	0.25506263
23	0.21557590
24	0.23281477
25	0.21577050
26	0.22351806
27	0.26855908
28	0.22908935
29	0.20282588
30	0.24616942
31	0.23657676
32	0.22868937
33	0.17918830
34	0.25557191
35	0.21536774
36	0.27649188
37	0.23767665
38	0.17608667
39	0.23224260
40	0.23657832
41	0.20046163
42	0.29554280
43	0.19651687
44	0.26170361
45	0.23009085
46	0.19810694
47	0.23350427
48	0.27014458
49	0.23679701
50	0.24813699
51	0.27800706
52	0.17748299
53	0.19812547
54	0.25476914
55	0.18070503
56	0.22729954
57	0.21675288
58	0.24470631
59	0.20856049
60	0.26234304
61	0.20106204
62	0.26637116
63	0.25174307
64	0.20732264
