# batch	value
1	74.56423014
2	71.15395645
3	78.92525174
4	70.59991011
5	74.08715168
6	72.90964957
7	74.59702884
8	76.99137640
9	74.16146730
10	75.37024481
11	77.95671650
12	73.52682489
13	77.06635150
14	74.67843538
15	74.10794402
16	82.17909998
17	75.29298542
18	76.20500983
19	73.18018247
20	74.61642240
21	75.96475621
22	77.53061645
23	73.61384817
24	74.93004265
25	73.53137266
26	73.01495583
27	76.26118997
28	75.12738745
29	72.57051197
30	77.76523617
31	75.76889968
32	75.26995137
33	71.09542848
34	77.99221748
35	73.82446520
36	77.53232358
37	77.53508521
38	71.84706562
39	74.96308993
40	77.08533546
41	73.75442082
42	79.12314691
43	72.81780198
44	79.24056045
45	75.15633633
46	73.40227522
47	73.79692312
48	78.92743368
49	75.96806431
50	75.13934481
51	77.70606195
52	69.97389238
53	72.09741549
54	76.60148648
55	71.25409336
56	75.75504022
57	74.69195407
58	76.64604264
59	73.98787386
60	77.52189684
61	72.33844957
62	78.11964569
63	77.94120953
64	73.67645745
