# batch	value
1	0.44683259
2	0.44339137
3	0.46417979
4	0.43240641
5	0.45008739
6	0.44202341
7	0.45213633
8	0.45802007
9	0.45161431
10	0.45067408
11	0.45409197
12	0.44748783
13	0.46482033
14	0.44653758
15	0.45060115
16	0.47318840
17	0.46504902
18	0.46761853
19	0.44657554
20	0.45043262
21	0.45735103
22	0.47119470
23	0.44194470
24	0.44816164
25	0.44857500
26	0.44873838
27	0.46355217
28	0.44273184
29	0.45350723
30	0.46863521
31	0.46149213
32	0.45554888
33	0.43774716
34	0.45751124
35	0.43803999
36	0.46754536
37	0.46428662
38	0.43594589
39	0.45807411
40	0.44670011
41	0.44836101
42	0.46462854
43	0.44555688
44	0.46998874
45	0.44519247
46	0.44923581
47	0.45308495
48	0.46624590
49	0.45167823
50	0.44670068
51	0.46246740
52	0.43275968
53	0.44739057
54	0.46635785
55	0.44486261
56	0.45388014
57	0.45320628
58	0.46401034
59	0.45034158
60	0.45773613
61	0.45421001
62	0.45684782
63	0.45719028
64	0.45752300
