# batch	value
1	0.01877133
2	0.02052284
3	0.01777886
4	0.03617697
5	0.01538837
6	0.03685624
7	0.01440430
8	0.00999756
9	0.01735093
10	0.03410475
11	0.02343178
12	0.04028320
13	0.03313033
14	0.03516484
15	0.01686217
16	0.03146341
17	0.02783203
18	0.01952648
19	0.02804878
20	0.05588092
21	0.01587302
22	0.02975610
23	0.02370479
24	0.02146865
25	0.03197462
26	0.02731707
27	0.04197169
28	0.03120429
29	0.01416361
30	0.03587116
31	0.02903147
32	0.02880156
33	0.01952648
34	0.01123047
35	0.02608484
36	0.03444064
37	0.02562851
38	0.01463058
39	0.05296558
40	0.01440430
41	0.04585366
42	0.05787546
43	0.02025873
44	0.01390922
45	0.01929182
46	0.02364700
47	0.03469338
48	0.03831137
49	0.02781845
50	0.03952183
51	0.04564315
52	0.01537711
53	0.02659185
54	0.02049280
55	0.01292368
56	0.03462570
57	0.03633260
58	0.04768892
59	0.02828578
60	0.03048780
61	0.05509508
62	0.03005131
63	0.02392578
64	0.02367586
