# batch	value
1	390.66318842
2	395.82064353
3	402.09331152
4	385.75825239
5	394.15187116
6	388.40823380
7	391.04295478
8	392.54784497
9	393.03642478
10	399.36060278
11	402.90255421
12	391.99630252
13	401.14145112
14	395.23214588
15	389.17755760
16	414.57278271
17	396.30784126
18	399.75481803
19	399.10062678
20	405.67148466
21	399.14926863
22	396.92650243
23	398.09501121
24	398.91162768
25	394.88457004
26	389.04711448
27	400.86104022
28	392.26376561
29	392.68833761
30	406.21933777
31	396.30942099
32	398.31716614
33	380.88927180
34	392.46170089
35	388.77530535
36	401.57025179
37	404.88629517
38	383.70034402
39	405.04603946
40	399.32811807
41	393.57198437
42	415.79475096
43	392.45620207
44	401.17578479
45	393.73206381
46	393.25904175
47	406.02852152
48	408.20537284
49	400.88367606
50	400.05499668
51	411.55308682
52	382.47508878
53	391.91709790
54	401.55172132
55	379.50803780
56	393.74781690
57	400.80914435
58	396.20933753
59	393.55288989
60	404.42074088
61	401.87792458
62	405.28210275
63	402.29112868
64	393.25143508
