# s=45 S=55
# time_s	level
0.000	40
339.190	39
534.085	38
534.085	37
958.411	36
1017.480	35
1017.480	34
1036.996	33
1183.638	32
1242.459	31
1314.803	30
1441.418	29
1450.216	28
1530.787	27
1623.557	26
1703.324	25
1703.324	24
1724.009	23
1724.009	22
1724.009	21
1790.822	20
1790.822	19
1869.877	18
2015.127	17
2113.677	16
2235.502	15
2235.502	14
2235.502	13
2235.502	12
2257.819	11
2264.490	10
2311.997	9
2311.997	8
2497.805	7
2632.370	6
2632.370	5
2632.370	4
2632.370	3
2647.209	2
2705.510	1
2705.510	0
2705.510	0
2787.780	0
2787.780	0
2787.780	0
2909.930	0
2966.449	0
3147.595	0
3219.293	0
3374.077	0
3452.133	0
3522.616	0
3534.154	0
3611.454	0
3680.054	0
3680.054	0
3798.777	0
3798.777	0
3881.794	0
4039.338	0
4157.851	0
4180.958	0
4207.786	0
4305.823	0
4315.044	0
4331.617	0
4940.143	0
5154.978	0
5381.671	20
5619.214	19
5619.214	18
5619.214	17
5793.527	16
5801.419	36
5843.616	35
5881.425	50
5929.071	49
6322.402	48
6322.402	47
6384.844	46
6628.067	45
6724.375	44
6938.647	43
6991.474	42
6991.474	41
7054.994	40
7395.008	39
7648.100	38
7683.176	37
7858.927	36
7920.902	35
7920.902	34
8025.861	33
8025.861	32
8241.962	31
8241.962	30
8524.291	29
8571.360	44
8819.206	43
9032.396	42
9337.319	41
9345.114	40
9694.622	39
9726.022	38
9760.249	37
9760.249	36
10315.891	35
10401.978	34
10401.978	33
10415.512	32
10415.512	31
10415.512	30
10415.512	29
10962.381	28
11186.827	27
11289.291	26
11653.420	32
11976.151	31
12125.903	30
12125.903	29
12125.903	28
12320.461	48
12485.425	47
12568.440	46
12568.440	45
12583.387	44
12662.050	43
12699.840	42
12801.573	41
12801.573	40
12853.185	39
12853.185	38
12859.913	37
12965.412	36
13251.482	35
13313.547	34
13368.803	33
13368.803	32
13420.057	31
13420.057	30
13434.196	29
13530.554	28
14021.986	27
14122.281	26
14156.455	25
14310.775	24
14479.426	23
14780.759	22
14780.759	21
14780.759	20
14780.759	19
14934.605	18
14934.605	17
14934.605	16
14934.605	15
14934.605	14
15254.530	13
15254.530	12
15283.469	11
15616.919	10
15645.881	9
15786.254	8
15806.949	7
15806.949	6
16081.841	26
16144.221	25
16265.501	36
16274.267	35
16588.418	34
16696.909	33
16998.860	32
16998.860	31
17056.953	30
17160.616	29
17191.281	28
17191.281	27
17191.281	26
17239.337	25
17611.147	24
17890.776	23
17890.776	22
17890.776	21
18052.661	20
18052.661	19
18052.661	18
18344.584	17
18389.435	16
18435.845	15
18485.598	14
18803.415	13
18846.334	12
19093.274	11
19235.630	10
19353.527	24
19403.213	23
19614.249	22
19629.147	21
19767.207	41
19924.002	40
19924.002	39
19924.002	38
20150.574	37
20359.952	36
20359.952	35
20435.728	34
20435.728	33
20435.728	32
20453.708	31
20513.745	30
20727.008	29
20823.065	28
21135.888	27
21218.637	26
21218.637	25
21218.637	24
21296.398	23
21384.579	22
21405.204	21
21537.924	20
21608.283	19
21964.420	18
22030.190	17
22216.242	16
22473.310	15
22829.501	14
22829.501	13
22903.679	12
22903.679	11
23063.428	10
23075.649	30
23150.248	29
23448.959	28
23544.920	27
23613.634	42
23822.366	41
24028.504	40
24028.504	39
24028.504	38
24163.881	37
24163.881	36
24188.666	35
24188.666	34
24325.498	33
24325.498	32
24395.903	31
24609.230	30
24813.271	29
24845.429	28
24990.936	27
25278.210	26
25311.592	25
25430.800	24
25430.800	23
25518.195	22
25518.195	21
25621.842	20
25621.842	19
25621.842	18
26185.455	17
26307.321	16
26344.932	15
26552.842	14
26552.842	13
26584.371	12
26906.971	11
26906.971	10
26906.971	9
26960.352	8
27025.785	7
27055.305	15
27241.720	35
27477.760	34
27477.760	33
27544.489	32
27544.489	31
27544.489	30
27588.083	29
27602.791	28
27749.553	27
27760.746	26
27938.375	25
28281.021	24
28300.015	23
28360.178	22
28360.178	21
28430.174	20
28455.890	19
28514.517	18
28514.517	17
28926.115	16
29030.940	15
29117.689	14
29117.689	13
29264.372	12
29308.749	11
29346.696	10
29376.141	9
29462.841	8
29596.728	7
29659.340	6
29659.340	5
29777.813	25
29780.923	24
29791.950	23
29881.559	22
29881.559	21
30204.634	39
30268.429	38
30268.429	37
30268.429	36
30268.429	35
30401.720	34
30401.720	33
30466.493	32
30479.727	31
30719.667	30
30995.162	29
30995.162	28
30995.162	27
31063.281	26
31497.828	25
31585.865	24
31707.848	23
31748.324	22
31748.324	21
31874.016	20
32140.504	19
32152.605	18
32485.188	17
32573.631	16
32573.631	15
32638.210	14
33228.140	13
33317.963	12
33818.774	11
33818.774	10
33874.363	9
33936.180	8
33936.180	7
34015.216	6
34015.216	5
34137.023	4
34137.023	3
34190.361	2
34190.361	1
34273.068	0
34376.313	20
34416.294	19
34599.251	36
35206.461	35
35247.902	34
35632.976	33
35632.976	32
35696.228	31
35806.744	30
35806.744	29
35820.089	28
35820.865	27
35888.877	26
36337.719	25
36337.719	24
36337.719	23
36337.719	22
36430.431	21
36430.431	20
36544.477	19
36544.477	18
36663.662	17
36969.528	16
37075.840	15
37094.945	14
37271.553	13
37381.989	22
37383.229	21
37528.210	20
37706.752	19
37706.752	18
37721.525	38
37723.249	37
37775.727	36
38047.632	35
38090.155	34
38090.155	33
38395.666	32
38811.099	31
38876.984	30
39054.628	29
39064.871	28
39258.113	27
39339.710	26
39339.710	25
39374.786	24
39623.481	23
39842.340	22
39842.340	21
39842.340	20
40100.634	19
40100.634	18
40100.634	17
40100.634	16
40100.634	15
40100.634	14
40525.122	13
40525.122	12
40812.472	23
40978.206	22
40978.206	21
40978.206	20
41041.753	19
41321.451	18
41657.886	17
41741.145	16
41820.422	15
41842.154	14
42004.126	13
42007.728	33
42156.244	32
42165.368	31
42471.361	30
42622.302	29
42622.302	28
42638.918	27
42899.920	26
42973.408	25
42973.408	24
43144.228	23
43179.757	22
43435.110	21
43435.110	20
43435.110	19
43714.413	18
43714.413	17
43761.861	16
44300.240	15
44350.397	14
44635.698	13
44720.590	12
44820.543	11
44827.747	10
44980.799	9
44980.799	8
44980.799	7
45089.356	6
45265.283	5
45265.283	4
45265.283	3
45340.730	2
45340.730	1
45426.966	0
45426.966	0
45426.966	0
45460.666	0
45567.243	0
45585.761	0
45907.249	0
46126.545	0
46158.248	0
46232.608	0
46232.608	0
46232.608	0
46325.819	0
46386.942	0
46444.887	0
46484.834	0
46615.060	0
46640.425	0
46746.227	0
46830.671	0
47361.649	0
47415.112	0
47477.677	0
47575.570	0
47749.161	0
47749.161	0
48000.585	0
48008.163	0
48008.163	0
48037.970	0
48049.735	0
48150.243	0
48207.397	0
48343.026	0
48343.026	0
48343.026	0
48343.026	0
48364.362	0
48587.888	0
48735.306	0
48895.021	20
48911.914	19
48911.914	18
48911.914	17
49015.087	16
49015.087	15
49111.585	35
49198.487	34
49198.487	33
49198.487	32
49210.474	31
49296.310	46
49464.979	45
49556.064	44
50393.644	43
50403.224	42
50500.842	41
51019.692	40
51196.120	39
51297.111	38
51353.443	50
51422.813	49
51651.126	48
51944.458	47
52086.229	46
53144.617	45
53144.617	44
53415.039	43
53415.039	42
53448.159	41
53541.429	40
53541.429	39
53541.429	38
53565.975	37
53573.697	36
53706.582	35
53706.582	34
53706.582	33
53706.582	32
53794.663	31
53888.896	30
53888.896	29
53888.896	28
54451.415	27
54840.814	26
55023.449	25
55195.733	24
55270.649	31
55466.955	51
55675.968	50
55675.968	49
55675.968	48
55697.420	47
55719.158	46
56267.149	45
56368.856	44
56508.939	43
56521.933	42
56637.178	41
56734.888	40
57241.161	39
57477.452	38
57477.452	37
57552.202	36
57552.202	35
57669.026	34
57669.026	33
57695.248	32
57793.162	31
57793.162	30
58022.855	29
58028.549	28
58055.683	27
58254.971	26
58254.971	25
58301.290	24
58470.432	23
58470.432	22
58497.858	21
59137.127	20
59249.135	19
59316.803	39
59403.906	38
59403.906	37
59403.906	36
59683.717	35
59683.717	34
59683.717	33
59794.710	32
60339.100	31
60339.100	30
60339.100	29
60430.296	28
60621.271	27
60621.271	26
60688.060	25
60892.201	24
61036.876	23
61144.205	22
61159.833	21
61270.222	20
61719.337	19
61743.112	18
62021.399	17
62030.929	16
62346.798	36
62512.513	50
62708.936	49
63042.358	48
63042.358	47
63395.359	46
63502.458	45
63502.458	44
63618.194	43
63618.194	42
63639.674	41
63743.489	40
63788.837	39
63835.663	38
64056.046	37
64273.828	36
64414.895	35
64513.023	34
64591.318	33
64839.426	32
64903.820	31
64903.820	30
64942.213	29
64942.213	28
65049.922	27
65183.390	26
65183.390	25
65302.374	24
65357.933	26
65747.789	25
65932.414	24
66093.535	23
66439.655	43
67036.033	42
67162.563	41
67328.066	40
67341.926	39
67356.319	38
67702.759	37
67702.759	36
67769.750	35
67769.750	34
67779.797	33
68059.385	32
68095.167	31
68534.241	30
68534.241	29
68653.155	28
68678.224	27
68866.012	26
68894.611	25
68915.189	24
69220.314	23
69254.490	27
69356.265	26
69356.265	25
69356.265	24
69387.449	23
69991.084	43
70000.376	42
70097.989	41
70116.841	40
70256.876	39
70430.022	38
70430.022	37
70430.022	36
70592.688	35
70616.488	34
70831.864	33
70846.161	32
70915.183	31
70915.183	30
70915.183	29
70962.083	28
71049.660	27
71162.640	26
71162.640	25
71387.381	24
71387.381	23
71441.862	22
71625.329	21
72184.202	20
72666.348	19
72930.818	18
72936.541	17
73090.675	37
73126.931	36
73324.701	35
73424.046	34
73441.841	48
73570.756	47
73752.511	46
74052.172	45
74052.172	44
74052.172	43
74164.170	42
74325.039	41
74325.039	40
74718.284	39
74780.809	38
74792.702	37
74811.490	36
74847.047	35
74964.517	34
74964.517	33
74964.517	32
74969.946	31
75036.876	30
75036.876	29
75036.876	28
75058.476	27
75116.803	26
75184.594	25
75335.457	24
75440.174	23
75684.507	22
75838.610	21
75838.610	20
75838.610	19
76492.225	18
76628.912	30
76671.013	29
76717.072	28
77087.865	27
77087.865	26
77087.865	25
77204.432	45
77833.288	44
78077.188	43
78222.021	42
78255.769	41
78579.109	40
78579.109	39
78675.089	38
78675.089	37
78683.389	36
78695.128	35
79061.942	34
79129.423	33
79129.423	32
79251.183	31
79251.183	30
79400.137	29
79400.137	28
79400.137	27
79728.288	26
79728.288	25
79796.334	24
79973.660	23
80043.345	22
80053.735	21
80397.253	20
80397.253	19
80645.209	22
80653.660	21
80798.725	20
80872.846	19
80878.071	18
80940.647	17
80940.647	16
80995.147	36
81307.127	35
81420.423	34
81776.149	33
82209.970	32
82291.727	31
82301.509	30
82422.971	29
82422.971	28
82688.254	27
82768.073	26
82857.858	25
82981.733	24
83154.723	23
83202.718	22
83202.718	21
83640.112	30
83664.760	29
83664.760	28
83790.906	27
83790.906	26
83790.906	25
83852.220	24
83852.220	23
83946.279	22
83990.903	21
84499.281	41
84830.591	40
85006.020	39
85006.020	38
85377.971	37
85579.681	36
86002.145	35
86314.239	34
86318.400	33
86318.400	32
86318.400	31
86422.768	30
86533.943	29
86625.267	28
86707.029	27
87009.495	26
87009.495	25
87164.368	24
87164.368	23
87258.272	22
87258.272	21
87258.272	20
87286.188	24
87531.909	44
87563.888	43
87888.146	42
87888.146	41
87888.146	40
88117.110	39
88247.179	38
88352.215	37
88566.484	36
88757.438	35
88757.438	34
88800.220	33
89335.245	32
89353.587	31
89605.938	30
89631.352	29
89736.629	28
89881.561	27
90022.922	26
90022.922	25
90022.922	24
90611.960	23
90645.930	31
90646.073	30
90834.222	50
90900.035	49
90900.035	48
90972.668	47
91043.263	46
91132.794	45
91144.344	44
91212.687	43
91755.547	42
91825.795	41
